iter	Passed	Remaining
0	17	3571
1	30	2988
2	40	2668
3	58	2861
4	67	2623
5	78	2524
6	84	2336
7	93	2234
8	100	2135
9	105	2010
10	117	2019
11	125	1963
12	132	1910
13	140	1866
14	148	1825
15	156	1795
16	160	1729
17	170	1722
18	175	1669
19	184	1660
20	194	1654
21	200	1625
22	208	1602
23	216	1590
24	224	1574
25	234	1569
26	243	1557
27	252	1549
28	257	1515
29	265	1502
30	270	1473
31	275	1445
32	283	1432
33	290	1419
34	298	1406
35	301	1372
36	310	1367
37	314	1340
38	323	1335
39	332	1328
40	340	1321
41	349	1316
42	358	1307
43	366	1300
44	374	1289
45	381	1277
46	389	1266
47	395	1252
48	399	1232
49	407	1223
50	415	1212
51	422	1202
52	431	1196
53	438	1185
54	447	1178
55	454	1167
56	462	1160
57	470	1150
58	477	1140
59	483	1127
60	490	1118
61	498	1110
62	504	1096
63	508	1080
64	516	1072
65	524	1065
66	529	1051
67	534	1037
68	542	1030
69	551	1023
70	555	1009
71	565	1006
72	578	1005
73	586	998
74	595	992
75	599	978
76	603	963
77	612	958
78	621	952
79	631	947
80	634	932
81	642	924
82	650	916
83	658	909
84	662	896
85	669	887
86	677	880
87	684	870
88	688	859
89	694	848
90	698	836
91	704	827
92	710	817
93	715	806
94	722	798
95	724	784
96	730	776
97	733	763
98	736	751
99	739	739
100	742	727
101	747	717
102	752	708
103	759	700
104	764	691
105	771	683
106	775	673
107	779	664
108	785	655
109	791	647
110	796	638
111	800	629
112	806	621
113	811	612
114	816	603
115	822	595
116	825	585
117	831	577
118	833	567
119	839	559
120	845	551
121	848	542
122	855	535
123	859	527
124	864	518
125	871	511
126	876	503
127	878	493
128	882	485
129	888	478
130	893	470
131	899	463
132	905	456
133	910	448
134	911	438
135	917	431
136	923	424
137	929	417
138	935	410
139	939	402
140	941	393
141	944	385
142	951	379
143	956	371
144	959	364
145	965	357
146	971	350
147	977	343
148	983	336
149	989	329
150	995	322
151	1001	316
152	1006	309
153	1008	301
154	1014	294
155	1022	288
156	1025	280
157	1033	274
158	1039	268
159	1047	261
160	1052	254
161	1058	248
162	1065	241
163	1070	234
164	1075	228
165	1082	221
166	1087	214
167	1092	208
168	1098	201
169	1103	194
170	1107	187
171	1113	181
172	1119	174
173	1124	168
174	1131	161
175	1136	154
176	1141	148
177	1147	141
178	1149	134
179	1154	128
180	1160	121
181	1165	115
182	1170	108
183	1176	102
184	1181	95
185	1186	89
186	1192	82
187	1197	76
188	1202	69
189	1207	63
190	1213	57
191	1218	50
192	1223	44
193	1230	38
194	1234	31
195	1240	25
196	1246	18
197	1251	12
198	1256	6
199	1262	0
