,value
0,204
1,194
2,170
3,128
4,58
5,70
6,68
7,62
8,94
9,102
10,122
11,132
12,146
13,152
14,134
15,130
16,130
17,188
18,96
19,146
20,142
21,116
22,140
23,160
24,118
25,112
26,86
27,58
28,70
29,52
30,46
31,82
32,76
33,66
34,102
35,104
36,84
37,110
38,124
39,92
40,92
41,98
42,116
43,122
44,100
45,108
46,176
47,136
48,146
49,104
50,88
51,98
52,58
53,60
54,76
55,66
56,106
57,98
58,138
59,346
60,290
61,290
62,302
63,280
64,286
65,294
66,354
67,346
68,350
69,272
70,236
71,244
72,250
73,212
74,192
75,130
76,98
77,94
78,106
79,118
80,138
81,176
82,166
83,232
84,286
85,242
86,212
87,254
88,246
89,248
90,228
91,286
92,256
93,228
94,216
95,246
96,196
97,174
98,134
99,116
100,74
101,72
102,82
103,112
104,142
105,144
106,210
107,236
108,276
109,238
110,216
111,264
112,252
113,250
114,240
115,230
116,198
117,200
118,238
119,222
120,190
121,136
122,138
123,98
124,102
125,72
126,68
127,76
128,128
129,152
130,166
131,224
132,208
133,194
134,248
135,196
136,200
137,214
138,230
139,264
140,250
141,232
142,260
143,226
144,196
145,142
146,116
147,92
148,74
149,72
150,94
151,88
152,106
153,182
154,180
155,218
156,238
157,212
158,244
159,218
160,236
161,228
162,234
163,226
164,244
165,198
166,222
167,184
168,200
169,136
170,142
171,106
172,70
173,64
174,64
175,86
176,98
177,82
178,102
179,130
180,100
181,140
182,142
183,126
184,108
185,138
186,146
187,124
188,158
189,94
190,112
191,160
192,108
193,86
194,64
195,34
196,62
197,50
198,34
199,50
200,62
201,74
202,100
203,124
204,102
205,102
206,132
207,128
208,132
209,100
210,128
211,164
212,138
213,150
214,138
215,120
216,134
217,78
218,80
219,60
220,62
221,66
222,66
223,74
224,68
225,250
226,414
227,382
228,316
229,278
230,346
231,322
232,358
233,374
234,332
235,316
236,220
237,194
238,262
239,212
240,256
241,178
242,124
243,100
244,70
245,92
246,78
247,98
248,104
249,108
250,174
251,214
252,220
253,202
254,224
255,238
256,196
257,218
258,246
259,224
260,212
261,222
262,226
263,198
264,180
265,150
266,108
267,94
268,74
269,72
270,78
271,80
272,108
273,176
274,202
275,252
276,242
277,212
278,222
279,212
280,254
281,218
282,218
283,244
284,248
285,214
286,210
287,190
288,174
289,160
290,122
291,84
292,60
293,78
294,68
295,132
296,130
297,126
298,184
299,208
300,222
301,190
302,208
303,204
304,180
305,228
306,216
307,270
308,228
309,228
310,208
311,210
312,194
313,114
314,136
315,106
316,82
317,68
318,84
319,96
320,76
321,94
322,212
323,234
324,222
325,220
326,216
327,206
328,204
329,210
330,198
331,264
332,244
333,226
334,238
335,178
336,252
337,186
338,120
339,88
340,78
341,52
342,50
343,64
344,68
345,80
346,116
347,126
348,114
349,118
350,108
351,114
352,130
353,94
354,104
355,114
356,106
357,162
358,116
359,104
360,102
