iter	MultiClass
0	1.433380204
1	1.312184478
2	1.219317145
3	1.14738248
4	1.090104012
5	1.042123097
6	1.003385286
7	0.9694964747
8	0.94081578
9	0.9166342022
10	0.8937876925
11	0.8721425914
12	0.8542912256
13	0.835798493
14	0.8212027517
15	0.8077190302
16	0.7948975448
17	0.7820026117
18	0.7726862747
19	0.7643110258
20	0.7584687743
21	0.7526298552
22	0.7461165766
23	0.7400735139
24	0.7347274254
25	0.7306190311
26	0.725879118
27	0.7195889368
28	0.7163912769
29	0.7125986368
30	0.7081782153
31	0.7057326947
32	0.7031572116
33	0.700304922
34	0.697674079
35	0.6946351079
36	0.6931452956
37	0.6905055256
38	0.6878336081
39	0.6859323322
40	0.683945617
41	0.6820668285
42	0.6809930053
43	0.6802642338
44	0.6798019822
45	0.6788298255
46	0.677972585
47	0.6774844133
48	0.6767391381
49	0.6758175902
50	0.6746514252
51	0.6728897118
52	0.6716721972
53	0.6700810292
54	0.6680531328
55	0.6672954171
56	0.6669282121
57	0.6659785614
58	0.6647954184
59	0.663853034
60	0.6627028143
61	0.6614791569
62	0.6607191849
63	0.6606005641
64	0.6599661731
65	0.6589397709
66	0.6582565215
67	0.6577801611
68	0.6568481611
69	0.6566390885
70	0.6561145182
71	0.6555989734
72	0.6547505386
73	0.6531398358
74	0.6524603096
75	0.6521369035
76	0.6520123634
77	0.6517156452
78	0.6507447885
79	0.6506095881
80	0.650340316
81	0.6502233905
82	0.6501120601
83	0.6488993101
84	0.6486505611
85	0.6484575374
86	0.6481713816
87	0.6474276389
88	0.6465361022
89	0.6460275864
90	0.6457581198
91	0.6453595858
92	0.644570846
93	0.6439140579
94	0.6433301302
95	0.642753246
96	0.6425685638
97	0.6422256297
98	0.6417596454
99	0.6411122551
100	0.6410081827
101	0.6407024877
102	0.6394703066
103	0.6389823783
104	0.6376030665
105	0.6372056823
106	0.6370634759
107	0.6369317771
108	0.6363585265
109	0.6356998309
110	0.635331212
111	0.6347087673
112	0.6342479085
113	0.6337761313
114	0.6336020134
115	0.6333693842
116	0.6332170833
117	0.632729413
118	0.6324999989
119	0.6321154961
120	0.6317153018
121	0.6306277589
122	0.630356303
123	0.6292910644
124	0.6292315866
125	0.6289601471
126	0.6288214937
127	0.6282487401
128	0.6279508498
129	0.6277315485
130	0.6275733218
131	0.6268327229
132	0.6261708565
133	0.6257176595
134	0.6254736319
135	0.6252702699
136	0.625068785
137	0.6243115867
138	0.6237053342
139	0.6233035236
140	0.6230527579
141	0.6226343745
142	0.6217068095
143	0.6213774435
144	0.6212798391
145	0.620957474
146	0.6204682907
147	0.6203844007
148	0.6202726257
149	0.6200792048
150	0.6199502013
151	0.6199094719
152	0.6198704137
153	0.6196028243
154	0.6192582704
155	0.6189944631
156	0.6188847452
157	0.6187564036
158	0.6184160466
159	0.618103681
160	0.6178646965
161	0.6174586541
162	0.616636491
163	0.6163910264
164	0.6163027292
165	0.616278884
166	0.6159020028
167	0.6156866803
168	0.6150363151
169	0.6148711027
170	0.614758279
171	0.6144957771
172	0.6143674508
173	0.6137125799
174	0.6132392564
175	0.6131483054
176	0.6129249445
177	0.6127662462
178	0.612484777
179	0.6124213025
180	0.6119982038
181	0.6116442548
182	0.6115011471
183	0.6111161217
184	0.6108912099
185	0.610661505
186	0.6105390538
187	0.610476514
188	0.6102993573
189	0.6097618482
190	0.6097049565
191	0.6095880087
192	0.6095691138
193	0.6091245387
194	0.6090488605
195	0.608855232
196	0.6087072489
197	0.6086821681
198	0.6084793056
199	0.6082657743
200	0.6078118192
201	0.6075081896
202	0.6074365721
203	0.60724652
204	0.6068765086
205	0.6065741992
206	0.6064441633
207	0.6063793436
208	0.6062653153
209	0.6059953769
210	0.6057056583
211	0.6055092104
212	0.6054001492
213	0.605051585
214	0.6049584882
215	0.6045836606
216	0.6044721078
217	0.6040993878
218	0.6039144463
219	0.6038291089
220	0.6035313758
221	0.6031007448
222	0.6030001267
223	0.6029123966
224	0.6027476257
225	0.6026137527
226	0.6024887643
227	0.6024103916
228	0.6023512914
229	0.6021324362
230	0.6019336425
231	0.6017660258
232	0.6016516185
233	0.6012912145
234	0.6012158346
235	0.6009464431
236	0.6007168363
237	0.6006565729
238	0.6004156199
239	0.6001942185
240	0.5999419443
241	0.5998975943
242	0.5997699705
243	0.5995443114
244	0.5993188165
245	0.5990853697
246	0.5989461206
247	0.5985368853
248	0.5984803983
249	0.5983802318
250	0.5982640429
251	0.5981283084
252	0.5977381831
253	0.5970357354
254	0.5965270693
255	0.5963713776
256	0.5962695093
257	0.5955540806
258	0.5955357199
259	0.5949815075
260	0.5947224553
261	0.594396888
262	0.5942871418
263	0.5942447052
264	0.5942046745
265	0.5941673834
266	0.5939775362
267	0.5936093723
268	0.5932374639
269	0.593199705
270	0.5930596475
271	0.5925317544
272	0.5921868418
273	0.5921543524
274	0.5919154746
275	0.591883459
276	0.5916936142
277	0.5914292771
278	0.5913587388
279	0.5912521613
280	0.5908498213
281	0.5907182385
282	0.5906667848
283	0.5904081869
284	0.5903499521
285	0.5902302706
286	0.5901729536
287	0.5900357586
288	0.5899787434
289	0.5898940448
290	0.5897274015
291	0.5896494536
292	0.5892893632
293	0.5891989885
294	0.5890662266
295	0.5887898377
296	0.5885049001
297	0.5883587038
298	0.5883323164
299	0.5879920661
300	0.5879199293
301	0.5878962812
302	0.5877468696
303	0.5875844352
304	0.5872919251
305	0.5871960705
306	0.5870154894
307	0.5866056803
308	0.5862871178
309	0.5862310734
310	0.586021299
311	0.5859099251
312	0.5858500727
313	0.5858011659
314	0.585729222
315	0.5856649963
316	0.5853176499
317	0.5851114748
318	0.5850512608
319	0.5845113914
320	0.5844266918
321	0.5842871853
322	0.5840117889
323	0.5838121711
324	0.5837136879
325	0.5835224126
326	0.5834577028
327	0.5833080522
328	0.5832153323
329	0.5831501028
330	0.5830844532
331	0.5830529787
332	0.5829693872
333	0.5829014626
334	0.5827613896
335	0.5827441677
336	0.5827202576
337	0.5823156379
338	0.5822977968
339	0.5822113689
340	0.581922441
341	0.581695936
342	0.5813839481
343	0.5813377753
344	0.5812844812
345	0.581188079
346	0.5811749141
347	0.5809860844
348	0.5808713488
349	0.580855673
350	0.5807874609
351	0.5807366566
352	0.5803916518
353	0.5803791443
354	0.5803345377
355	0.5801099077
356	0.5800031353
357	0.5799761944
358	0.5799458449
359	0.579928314
360	0.5798160241
361	0.5795658711
362	0.5795471009
363	0.5791590567
364	0.5789778688
365	0.5787699056
366	0.578688116
367	0.5786307017
368	0.5786072007
369	0.5784865088
370	0.5784490839
371	0.5779930032
372	0.5776054152
373	0.5775702686
374	0.577417146
375	0.5773294488
376	0.5771566697
377	0.5769012394
378	0.5768706296
379	0.5768114979
380	0.5767747937
381	0.5766614235
382	0.5766373096
383	0.5765821375
384	0.5764547111
385	0.5762261824
386	0.5760612568
