iter	Passed	Remaining
0	81	81862
1	114	57195
2	153	50972
3	191	47664
4	233	46402
5	277	45893
6	317	44969
7	355	44030
8	392	43170
9	427	42274
10	462	41567
11	490	40416
12	512	38911
13	534	37615
14	558	36694
15	583	35875
16	609	35237
17	638	34840
18	667	34477
19	693	33974
20	715	33361
21	739	32891
22	763	32412
23	789	32124
24	812	31706
25	840	31473
26	868	31286
27	894	31049
28	948	31757
29	985	31879
30	1017	31806
31	1042	31533
32	1066	31242
33	1092	31027
34	1115	30761
35	1140	30541
36	1161	30228
37	1185	30005
38	1208	29782
39	1233	29611
40	1259	29458
41	1287	29363
42	1314	29260
43	1339	29096
44	1363	28946
45	1386	28764
46	1411	28621
47	1435	28465
48	1460	28338
49	1493	28373
50	1522	28327
51	1551	28277
52	1575	28148
53	1597	27983
54	1619	27826
55	1642	27690
56	1667	27592
57	1691	27472
58	1716	27374
59	1740	27268
60	1763	27143
61	1788	27051
62	1811	26940
63	1832	26797
64	1856	26697
65	1883	26647
66	1910	26598
67	1931	26478
68	1956	26401
69	1983	26352
70	2019	26429
71	2062	26588
72	2099	26667
73	2135	26724
74	2157	26613
75	2179	26493
76	2199	26364
77	2220	26246
78	2244	26169
79	2268	26093
80	2295	26040
81	2317	25939
82	2338	25834
83	2362	25764
84	2385	25679
85	2407	25586
86	2430	25510
87	2458	25473
88	2483	25425
89	2511	25396
90	2539	25365
91	2563	25304
92	2590	25266
93	2616	25215
94	2641	25163
95	2665	25102
96	2691	25053
97	2718	25025
98	2746	24997
99	2778	25008
100	2806	24983
101	2840	25003
102	2873	25020
103	2902	25002
104	2933	25005
105	2956	24936
106	2977	24851
107	2998	24767
108	3021	24698
109	3046	24648
110	3067	24570
111	3092	24517
112	3115	24457
113	3139	24402
114	3162	24341
115	3185	24274
116	3206	24201
117	3228	24131
118	3250	24066
119	3272	24000
120	3295	23941
121	3320	23899
122	3343	23841
123	3368	23796
124	3390	23730
125	3411	23666
126	3432	23598
127	3456	23546
128	3477	23478
129	3498	23415
130	3520	23353
131	3546	23318
132	3571	23278
133	3595	23236
134	3618	23187
135	3641	23133
136	3668	23106
137	3694	23075
138	3719	23041
139	3748	23023
140	3776	23005
141	3802	22973
142	3828	22946
143	3850	22890
144	3872	22835
145	3895	22783
146	3918	22740
147	3940	22682
148	3964	22643
149	3989	22606
150	4012	22561
151	4037	22523
152	4062	22487
153	4086	22449
154	4111	22416
155	4138	22389
156	4162	22349
157	4188	22321
158	4214	22292
159	4241	22269
160	4266	22233
161	4291	22201
162	4319	22179
163	4343	22139
164	4367	22101
165	4389	22052
166	4414	22019
167	4439	21986
168	4465	21956
169	4488	21913
170	4510	21868
171	4533	21826
172	4557	21784
173	4580	21744
174	4604	21706
175	4627	21665
176	4650	21625
177	4674	21588
178	4696	21542
179	4719	21498
180	4743	21464
181	4766	21424
182	4788	21380
183	4811	21340
184	4836	21306
185	4859	21265
186	4883	21230
187	4905	21187
188	4931	21159
189	4953	21116
190	4975	21072
191	4996	21026
192	5017	20979
193	5044	20958
194	5069	20926
195	5092	20888
196	5114	20846
197	5134	20798
198	5157	20759
199	5180	20722
200	5203	20685
201	5227	20649
202	5252	20620
203	5274	20582
204	5298	20546
205	5320	20506
206	5340	20459
207	5361	20414
208	5383	20375
209	5407	20343
210	5432	20315
211	5457	20284
212	5479	20247
213	5502	20211
214	5524	20169
215	5547	20134
216	5569	20095
217	5591	20059
218	5614	20024
219	5636	19983
220	5660	19953
221	5685	19925
222	5709	19894
223	5732	19857
224	5756	19826
225	5780	19796
226	5803	19762
227	5825	19724
228	5846	19683
229	5872	19660
230	5897	19631
231	5918	19593
232	5943	19563
233	5965	19529
234	5988	19493
235	6014	19469
236	6040	19447
237	6066	19423
238	6093	19403
239	6121	19384
240	6144	19352
241	6169	19323
242	6194	19296
243	6218	19266
244	6244	19243
245	6268	19213
246	6295	19192
247	6323	19174
248	6348	19148
249	6372	19116
250	6396	19087
251	6421	19060
252	6447	19036
253	6474	19016
254	6504	19003
255	6529	18976
256	6554	18949
257	6585	18940
258	6607	18905
259	6635	18887
260	6664	18871
261	6690	18846
262	6718	18826
263	6741	18794
264	6765	18765
265	6788	18733
266	6813	18705
267	6839	18682
268	6866	18660
269	6893	18638
270	6920	18617
271	6949	18600
272	6976	18578
273	6999	18545
274	7028	18530
275	7053	18502
276	7079	18478
277	7103	18449
278	7135	18439
279	7166	18429
280	7199	18422
281	7225	18395
282	7245	18358
283	7267	18322
284	7289	18288
285	7312	18255
286	7335	18223
287	7359	18195
288	7381	18159
289	7406	18132
290	7428	18099
291	7449	18062
292	7474	18036
293	7497	18003
294	7519	17971
295	7546	17948
296	7568	17914
297	7592	17886
298	7613	17849
299	7636	17817
300	7657	17782
301	7677	17745
302	7702	17719
303	7726	17689
304	7750	17660
305	7773	17629
306	7795	17596
307	7820	17569
308	7842	17538
309	7867	17512
310	7893	17488
311	7915	17454
312	7938	17425
313	7964	17400
314	7987	17369
315	8010	17339
316	8034	17310
317	8056	17278
318	8078	17246
319	8103	17219
320	8125	17186
321	8146	17153
322	8174	17132
323	8199	17108
324	8223	17079
325	8246	17050
326	8267	17016
327	8289	16983
328	8313	16955
329	8335	16922
330	8356	16890
331	8379	16860
332	8404	16834
333	8426	16803
334	8447	16769
335	8468	16735
336	8491	16705
337	8518	16683
338	8538	16648
339	8560	16616
340	8586	16592
341	8612	16570
342	8637	16543
343	8658	16510
344	8678	16477
345	8702	16448
346	8723	16416
347	8747	16388
348	8771	16362
349	8795	16334
350	8817	16303
351	8840	16273
352	8866	16251
353	8916	16271
354	8949	16259
355	8982	16249
356	9009	16226
357	9031	16196
358	9052	16163
359	9074	16133
360	9097	16103
361	9124	16081
362	9147	16053
363	9175	16032
364	9204	16012
365	9230	15989
366	9255	15964
367	9280	15938
368	9303	15908
369	9328	15883
370	9351	15854
371	9380	15835
372	9405	15810
373	9428	15781
374	9453	15756
375	9476	15726
376	9499	15698
377	9524	15672
378	9546	15642
379	9568	15611
380	9591	15582
381	9612	15551
382	9635	15522
383	9657	15492
384	9680	15463
385	9704	15435
386	9728	15410
387	9754	15385
388	9777	15357
389	9804	15334
390	9830	15311
391	9856	15287
392	9880	15260
393	9904	15234
394	9927	15205
395	9952	15179
396	9974	15150
397	10000	15126
398	10027	15104
399	10054	15081
400	10080	15057
401	10100	15025
402	10123	14997
403	10148	14971
404	10172	14944
405	10197	14919
406	10218	14888
407	10241	14860
408	10262	14829
409	10287	14803
410	10308	14772
411	10331	14744
412	10354	14716
413	10377	14688
414	10400	14660
415	10426	14637
416	10449	14609
417	10473	14582
418	10497	14556
